code,level,label,parent_code
120204,objective,Institutional construction design,1202
120205,objective,Residential construction design,1202
120299,objective,Construction design not elsewhere classified,1202
1203,group,Construction materials performance and processes,12
120301,objective,Cement and concrete materials,1203
120302,objective,Glass materials,1203
120303,objective,Metals,1203
120304,objective,Polymeric materials and paints,1203
120305,objective,"Stone, ceramics and clay materials",1203
120306,objective,Timber materials,1203
120399,objective,Construction materials performance and processes not elsewhere classified,1203
1204,group,Construction planning,12
120401,objective,Civil construction planning,1204
120402,objective,Commercial construction planning,1204
120403,objective,Industrial construction planning,1204
120404,objective,Regional planning,1204
120405,objective,Residential construction planning,1204
120406,objective,Urban planning,1204
120499,objective,Construction planning not elsewhere classified,1204
1205,group,Construction processes,12
120501,objective,Civil construction processes,1205
120502,objective,Commercial construction processes,1205
120503,objective,Industrial construction processes,1205
120504,objective,Institutional construction processes,1205
120505,objective,Residential construction processes,1205
120599,objective,Construction processes not elsewhere classified,1205
1206,group,Environmentally sustainable construction activities,12
120601,objective,Management of gaseous waste from construction activities (excl. greenhouse gases),1206
120602,objective,Management of liquid waste from construction activities (excl. water),1206
120603,objective,Management of solid waste from construction activities,1206
120604,objective,Management of water consumption by construction activities,1206
120699,objective,Environmentally sustainable construction activities not elsewhere classified,1206
1299,group,Other construction,12
129901,objective,Adaptation to climate change in construction,1299
129999,objective,Other construction not elsewhere classified,1299
13,division,CULTURE AND SOCIETY,
1301,group,Arts,13
130101,objective,Design,1301
130102,objective,Music,1301
130103,objective,The creative arts,1301
130104,objective,The performing arts,1301
130199,objective,Arts not elsewhere classified,1301
1302,group,Communication,13
130201,objective,Communication across languages and culture,1302
130202,objective,Languages and linguistics,1302
130203,objective,Literature,1302
130204,objective,The media,1302
130205,objective,Visual communication,1302
130299,objective,Communication not elsewhere classified,1302
1303,group,Ethics,13
130301,objective,Bioethics,1303
130302,objective,Business ethics,1303
130303,objective,Environmental ethics,1303
130304,objective,Social ethics,1303
130305,objective,Technological ethics,1303
130306,objective,Workplace and organisational ethics (excl. business ethics),1303
130399,objective,Ethics not elsewhere classified,1303
1304,group,Heritage,13
130401,objective,Assessment of heritage value,1304
130402,objective,Conserving collections and movable cultural heritage,1304
130403,objective,Conserving intangible cultural heritage,1304
130404,objective,Conserving natural heritage,1304
130405,objective,Conserving the historic environment,1304
130499,objective,Heritage not elsewhere classified,1304
1305,group,Religion,13
130501,objective,Religion and society,1305
130502,objective,Religious philosophies and belief systems,1305
130503,objective,Religious rituals and traditions (excl. structures),1305
130504,objective,Religious structures,1305
130599,objective,Religion not elsewhere classified,1305
1306,group,"Sport, exercise and recreation",13
130601,objective,Exercise,1306
130602,objective,Organised sports,1306
130603,objective,Recreation and leisure activities (excl. sport and exercise),1306
130699,objective,"Sport, exercise and recreation not elsewhere classified",1306
1307,group,Understanding past societies,13
130701,objective,Understanding Africa’s past,1307
130702,objective,Understanding Asia’s past,1307
130703,objective,Understanding Australia’s past,1307
130704,objective,Understanding Europe’s past,1307
130705,objective,Understanding New Zealand’s past,1307
130706,objective,Understanding the past of the Americas,1307
130799,objective,Understanding past societies not elsewhere classified,1307
1399,group,Other culture and society,13
139999,objective,Other culture and society not elsewhere classified,1399
14,division,DEFENCE,
1401,group,Defence,14
140101,objective,Air,1401
140102,objective,"Command, control and communications",1401
140103,objective,Cyber and electronic security and warfare,1401
140104,objective,Emerging defence technologies,1401
140105,objective,"Intelligence, surveillance and space",1401
140106,objective,Land,1401
140107,objective,Logistics,1401
140108,objective,Maritime,1401
140109,objective,National security,1401
140110,objective,Personnel,1401
140199,objective,Defence not elsewhere classified,1401
15,division,ECONOMIC FRAMEWORK,
1501,group,International trade policy,15
150101,objective,International agreements on trade,1501
150102,objective,Trade assistance and protection,1501
150103,objective,Trade policy,1501
150199,objective,International trade policy not elsewhere classified,1501
1502,group,Macroeconomics,15
150201,objective,Balance of payments,1502
150202,objective,Demography,1502
150203,objective,Economic growth,1502
150204,objective,Exchange rates,1502
150205,objective,Fiscal policy,1502
150206,objective,Income distribution,1502
150207,objective,Macro labour market issues,1502
150208,objective,Monetary policy,1502
150209,objective,Savings and investments,1502
150210,objective,Taxation,1502
150299,objective,Macroeconomics not elsewhere classified,1502
1503,group,Management and productivity,15
150301,objective,Industrial relations,1503
150302,objective,Management,1503
150303,objective,Marketing,1503
150304,objective,Productivity (excl. public sector),1503
150305,objective,Public sector productivity,1503
150306,objective,Technological and organisational innovation,1503
